feedback_id,timestamp,source,user_segment,original_text,category,sentiment,urgency,impact,ai_summary,priority_score,priority_level,recommendation
F001,2025-10-01 09:15,survey,enterprise,App crashes when uploading files over 10MB. This is blocking our entire team from working.,unknown,neutral,medium,medium,App crashes when uploading files over 10MB. This is blocking our entire team from working.,6.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F004,2025-10-01 14:20,support,enterprise,Export feature not working properly. Gets stuck at 50% and never completes.,unknown,neutral,medium,medium,Export feature not working properly. Gets stuck at 50% and never completes.,6.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F010,2025-10-02 13:55,in-app,enterprise,Reporting features are powerful but need better filtering options and date ranges.,unknown,neutral,medium,medium,Reporting features are powerful but need better filtering options and date ranges.,6.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F007,2025-10-02 09:10,social,enterprise,CRITICAL: Security vulnerability found in login page. Users can bypass authentication!,unknown,neutral,medium,medium,CRITICAL: Security vulnerability found in login page. Users can bypass authentication!,6.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F019,2025-10-04 11:50,social,enterprise,Need multi-language support. Have international team using the platform.,unknown,neutral,medium,medium,Need multi-language support. Have international team using the platform.,6.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F013,2025-10-03 09:30,survey,enterprise,Payment processing failed twice. Lost important transactions worth $5000.,unknown,neutral,medium,medium,Payment processing failed twice. Lost important transactions worth $5000.,6.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F016,2025-10-03 15:05,support,enterprise,"Best customer support I have experienced! Quick, helpful, and friendly.",unknown,neutral,medium,medium,"Best customer support I have experienced! Quick, helpful, and friendly.",6.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F002,2025-10-01 10:30,in-app,startup,Would love to see dark mode option in the next release. Current white theme hurts eyes.,unknown,neutral,medium,medium,Would love to see dark mode option in the next release. Current white theme hurts eyes.,5.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F020,2025-10-04 14:35,support,startup,Bulk import feature would save us hours of manual data entry work.,unknown,neutral,medium,medium,Bulk import feature would save us hours of manual data entry work.,5.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F011,2025-10-02 15:20,social,startup,Search functionality is broken. Returns no results even for exact matches.,unknown,neutral,medium,medium,Search functionality is broken. Returns no results even for exact matches.,5.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F008,2025-10-02 10:25,support,startup,Documentation is excellent and very helpful. Easy to follow tutorials.,unknown,neutral,medium,medium,Documentation is excellent and very helpful. Easy to follow tutorials.,5.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F005,2025-10-01 15:35,survey,startup,Great product! Love the intuitive interface and smooth user experience.,unknown,neutral,medium,medium,Great product! Love the intuitive interface and smooth user experience.,5.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F014,2025-10-03 11:15,in-app,startup,Email notifications not working. Missing important updates from the system.,unknown,neutral,medium,medium,Email notifications not working. Missing important updates from the system.,5.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F017,2025-10-03 16:30,survey,startup,Database sync issues. Data not updating in real-time causing major problems.,unknown,neutral,medium,medium,Database sync issues. Data not updating in real-time causing major problems.,5.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F003,2025-10-01 11:45,social,individual,Customer support response time is too slow. Waited 3 days for a simple reply.,unknown,neutral,medium,medium,Customer support response time is too slow. Waited 3 days for a simple reply.,4.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F006,2025-10-01 16:50,in-app,individual,Mobile app is very slow. Takes 30 seconds to load dashboard every time.,unknown,neutral,medium,medium,Mobile app is very slow. Takes 30 seconds to load dashboard every time.,4.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F012,2025-10-02 16:45,support,individual,"Absolutely love the new design! Clean, modern, and professional looking.",unknown,neutral,medium,medium,"Absolutely love the new design! Clean, modern, and professional looking.",4.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F009,2025-10-02 11:40,survey,individual,Need integration with Salesforce urgently. This is critical for our CRM workflow.,unknown,neutral,medium,medium,Need integration with Salesforce urgently. This is critical for our CRM workflow.,4.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F015,2025-10-03 13:40,social,individual,API is too slow. Taking 10+ seconds for simple queries. This is unacceptable.,unknown,neutral,medium,medium,API is too slow. Taking 10+ seconds for simple queries. This is unacceptable.,4.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
F018,2025-10-04 09:20,in-app,individual,The onboarding process is fantastic. Got started in just 5 minutes!,unknown,neutral,medium,medium,The onboarding process is fantastic. Got started in just 5 minutes!,4.0,MEDIUM,📋 MEDIUM: Add to product roadmap. Plan for upcoming release.
